year,report_code,corp_code,corp_name,stock_code,corp_cls,auditor_raw,auditor_group,audit_contract_fee,audit_actual_fee,audit_contract_hours,audit_actual_hours,audit_opinion,revenue,revenue_account,revenue_fs_div,source_rcept_no,warnings
2023,11011,00970453,파마리서치,214450,K,신한회계법인,other_or_unknown,115000000,115000000,2050,2281,,,,,20240315000795,
2023,11011,00429694,파버나인,177830,K,대주회계법인,other_or_unknown,236600000,236600000,1669,1665,,,,,20240320001764,
2023,11011,00238153,파세코,037070,K,인덕회계법인,other_or_unknown,165000000,165000000,1588,1414,,,,,20240321000783,
2023,11011,00638487,파수AI,150900,K,대주회계법인,other_or_unknown,100000000,100000000,836,836,,,,,20240328001775,
2023,11011,00231354,파워넷,037030,K,정진세림회계법인,other_or_unknown,135000000,135000000,1484,1488,,,,,20240320001372,
2023,11011,00269612,파워로직스,047310,K,진일회계법인,other_or_unknown,300000000,300000000,2120,2145,,,,,20240312000707,
2023,11011,01513440,파이버프로,368770,K,예교지성회계법인,other_or_unknown,90000000,90000000,1080,782,,,,,20240313000236,
2023,11011,00492353,파이오링크,170790,K,삼정회계법인,samjong_kpmg,110000000,110000000,1200,1060,,,,,20240318000020,
2023,11011,00781202,파이온엑스,900100,K,대주회계법인,other_or_unknown,300000000,300000000,1282,1011,,,,,20240422000306,
2023,11011,00350020,파인디앤씨,049120,K,안경회계법인,other_or_unknown,169000000,169000000,1209,1169,,,,,20240329001072,
2023,11011,00264732,파인디지털,038950,K,대주회계법인,other_or_unknown,140000000,140000000,1200,1233,,,,,20240314000816,
